item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"The Street of Crocodiles and Other Stories (Penguin Classics)","Bruno Schulz",Bruno,Schulz,9780143105145,0143105140,"The collected fiction of &quot;one of the most original imaginations in modern Europe&quot; (Cynthia Ozick) Bruno Schulz&#039;s untimely death at the hands of a Nazi stands as one of the great losses to modern literature. During his lifetime, his work found little critical regard, but word of his remarkable talents gradually won him an international readership. This volume brings together his complete fiction, including three short stories and his final surviving work, Sanatorium Under the Sign of the Hourglass. Illustrated with Schulz&#039;s original drawings, this edition beautifully showcases the distinctive surrealist vision of one of the twentieth century&#039;s most gifted and influential writers.","Penguin Classics",2008-03-25,,,,,368,,,,,,,,,,,,,2025-06-18,1
book,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible","Brian Tracy",Brian,Tracy,9781605094113,1605094110,"Based on more than 20 years of experience and 40 years of research, this book presents a completely updated and practical, proven strategy for creating and meeting goals that has been used by more than 1 million people already in its first edition. Author Brian Tracy again explores the seven key elements of goal setting and the 12 steps necessary to set and accomplish goals of any size. Using his trademark simple language and real-life examples, Tracy shows how to do the crucial work of determining one&#039;s strengths, values, and true goals. He explains further how to build the self-esteem and confidence necessary for achievement; how to overpower every problem or obstacle; how to overcome difficulties; how to respond to challenges; and how to continue moving forward no matter what happens. The book&#039;s revised and updated &quot;Mental Fitness&quot; program of character development shows readers how to become the kind of person on the inside who can achieve any goal on the outside.","Berrett-Koehler Publishers",2010-08-09,,,,,288,,,,,,,,,,,,,2025-06-18,1
book,"Tropic of Cancer","Henry Miller",Henry,Miller,9780802131782,0802131786,"Now hailed as an American classic, Tropic of Cancer, Henry Miller&rsquo;s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volume of Miller&rsquo;s famed mixture of memoir and fiction, which chronicles with unapologetic gusto the bawdy adventures of a young expatriate writer, his friends, and the characters they meet in Paris in the 1930s. Tropic of Cancer is now considered, as Norman Mailer said, one of the ten or twenty great novels of our century.&rdquo;","Grove Press",1994-01-06,,,,,318,,,,,,,,,,,,,2025-06-18,1
book,Bossypants,"Tina Fey",Tina,Fey,9780316056892,0316056898,"Before Liz Lemon, before &quot;Weekend Update,&quot; before &quot;Sarah Palin,&quot; Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.She has seen both these dreams come true.At last, Tina Fey&#039;s story can be told. From her youthful days as a vicious nerd to her tour of duty on Saturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon -- from the beginning of this paragraph to this final sentence.Tina Fey reveals all, and proves what we&#039;ve all suspected: you&#039;re no one until someone calls you bossy.(Includes Special, Never-Before-Solicited Opinions on Breastfeeding, Princesses, Photoshop, the Electoral Process, and Italian Rum Cake!)","Reagan Arthur / Little, Brown",2013-01-29,,,,,272,,,,,,,,,,,,,2025-06-18,1
book,"Mensa 10-Minute Crossword Puzzles","Fred Piscop",Fred,Piscop,9780761163220,0761163220,"It&rsquo;s puzzle nirvana for crossword lovers who have just a few minutes to spare, but still crave a challenge. Adapted from the popular Mensa 10-Minute Crossword Puzzles Page-A-Day Calendar, Mensa 10-Minute Crossword Puzzles strikes a perfect balance: The puzzles are tough enough to be sanctioned by Mensa, the internationally famous high-IQ society, but are designed to be solvable in ten minutes or less. Expertly written by puzzle master Fred Piscop, Mensa member, author of the Mensa calendar, and frequent crossword contributor to both The New York Times and The Washington Post, these cleverly themed crossword puzzles will appeal to both seasoned solvers and novices looking to hone their skills. They are an addictive addition to your morning routine (just add coffee); perfect for evening downtime; just right for your commute on the subway, or while waiting at the doctor&rsquo;s office or sitting in a restaurant&mdash;anytime you need a mental pick-me-up. The book&rsquo;s chunky format, which works so well for puzzle books like The Original Sudoku series, fits easily into a purse or bag. An answer key is included at the back of the book.","Workman Publishing Company",2011-08-25,,,,,408,,,,,,,,,,,,,2025-06-18,1
book,"Man's Search for Meaning","Viktor E. / Lasch, Ilse (Translator) / Kushner, Harold S. (FRW) / Winslade, William J. (AFT) Frankl",Viktor,Frankl,9780807014295,0080701429,,"Beacon Pr 2006-06-14",,,,,,,,,,,,,,,,,,,2025-06-18,1
book,"Lab Girl","Hope Jahren",Hope,Jahren,9781101873724,1101873728,"National BestsellerA New York Times Notable Book  Winner of the American Association for the Advancement of Science/Subaru Science Books &amp; Film Prize for Excellence in Science Books One of the Best Books of the Year: The Washington Post, TIME.com, NPR, Slate, Entertainment Weekly, Newsday, Minneapolis Star Tribune, Kirkus ReviewsGeobiologist Hope Jahren has spent her life studying trees, flowers, seeds, and soil. Lab Girl is her revelatory treatise on plant life—but it is also a celebration of the lifelong curiosity, humility, and passion that drive every scientist. In these pages, Hope takes us back to her Minnesota childhood, where she spent hours in unfettered play in her father’s college laboratory. She tells us how she found a sanctuary in science, learning to perform lab work “with both the heart and the hands.” She introduces us to Bill, her brilliant, eccentric lab manager. And she extends the mantle of scientist to each one of her readers, inviting us to join her in observing and protecting our environment. Warm, luminous, compulsively readable, Lab Girl vividly demonstrates the mountains that we can move when love and work come together.  ",Vintage,2017-02-28,,,,,304,,,,,,,,,,,,,2025-06-18,1
book,"The Third Chimpanzee: The Evolution and Future of the Human Animal (P.S.)","Jared M. Diamond",Jared,Diamond,9780060845506,0060845503,"The Development of an Extraordinary SpeciesWe human beings share 98 percent of our genes with chimpanzees. Yet humans are the dominant species on the planet -- having founded civilizations and religions, developed intricate and diverse forms of communication, learned science, built cities, and created breathtaking works of art -- while chimps remain animals concerned primarily with the basic necessities of survival. What is it about that two percent difference in DNA that has created such a divergence between evolutionary cousins? In this fascinating, provocative, passionate, funny, endlessly entertaining work, renowned Pulitzer Prize&ndash;winning author and scientist Jared Diamond explores how the extraordinary human animal, in a remarkably short time, developed the capacity to rule the world . . . and the means to irrevocably destroy it.","Harper Perennial",2006-01-03,,,,,432,,,,,,,,,,,,,2025-06-18,1
book,"Threatened Children","Joel Best",Joel,Best,9780226044255,0226044254,"Child abuse, incest, child molestation, Halloween sadism, child pornography: although clearly not new problems, they have attracted more attention than ever before. Threatened Children asks why. Joel Best analyzes the rhetorical tools used by child advocates when making claims aimed at raising public anxiety and examines the media's role in transmitting reformers' claims and the public's response to the frightening statistics, compelling examples, and expanding definitions it confronts. Drawing on a wide range of sources, from criminal justice records to news stories, from urban legends to public opinion surveys, Best reveals how the cultural construction of social problems evolves.","University of Chicago Press",1990-12-15,,,,,239,,,,,,,,,,,,,2025-06-18,1
book,"The Mole People: Life in the Tunnels Beneath New York City","Jennifer Toth",Jennifer,Toth,9781556522413,0155652241,"Thousands of people live in the subway, railroad, and sewage tunnels that form the bowels of New York City and this book is about them, the so-called mole people. They live alone and in communities, in subway tunnels and below subway platforms and this fascinating study presents how and why people move underground, who they are, and what they have to say about their lives and the topside&rdquo; world they&rsquo;ve left behind.","Chicago Review Press",1995-10-01,,,,,280,,,,,,,,,,,,,2025-06-18,1
