item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Simon vs. the Homo Sapiens Agenda","Becky Albertalli",Becky,Albertalli,9780062348685,006234868X,"William C. Morris Award WinnerNational Book Award LonglistEverybody is talking about Simon vs. the Homo Sapiens Agenda!""A remarkable gift of a novel.""—Andrew Smith, author of Grasshopper Jungle""I am so in love with this book.""—Nina LaCour, author of Hold Still""Feels timelessly, effortlessly now.""—Tim Federle, author of Better Nate Than Ever""The best kind of love story.""—Alex Sanchez, Lambda Award-winning author of Rainbow Boys and Boyfriends with GirlfriendsSixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met.Incredibly funny and poignant, this twenty-first-century coming-of-age, coming out story—wrapped in a geek romance—is a knockout of a debut novel by Becky Albertalli.","Balzer + Bray",2016-06-07,,,,,336,,,,,,,,,,,,,2025-06-16,1
book,"Bhagavad-Gita As It Is (Compact Edition 6 x 4 in)","A C Bhaktivedanta Swami Prabhupada",A,Prabhupada,9789171499585,917149958X,,"Bhaktivedanta Book Trust",2016-01-01,,,,,,,,,,,,,,,,,,2025-06-16,1
book,"Martin Mclean, Middle School Queen","Alyssa Zaczek, Risa Rodil (Illustrator)",Alyssa,Zaczek,9781454935704,1454935707,"In this bighearted middle-grade debut, Martin McLean struggles to find his voice--and his inner diva--as he navigates friendship, family, first crushes, and a whole lot of glitter. ""An amusing story that's bursting with diversity at every turn. . . . A tasty treat.""--Kirkus (Starred review)   Seventh-grader Martin McLean has always been surrounded by people who can express themselves. His mother is an artist, his colorful Tío Billy works in theater, and his best friends Carmen and Pickle are outgoing and don't care what other people think. But Martin can only find the right words when he's answering a problem at a Mathletes competition--until his tío introduces him to the world of drag. In a swirl of sequins and stilettos, Martin creates his fabulous drag queen alter ego, Lottie León. As Lottie, he is braver than he's ever been; but as Martin, he doesn't have the guts to tell anyone outside of his family about her. Not Carmen and Pickle, not his Mathletes teammates, and definitely not Chris, an eighth-grader who gives Martin butterflies. When Martin discovers that his first-ever drag show is the same night as the most important Mathletes tournament, he realizes that he can only pull off both appearances by revealing his true self to his friends--and channeling his inner drag superstar. ""Amazing, fierce, and very inspirational . . . this book will inspire kids to express themselves."" --Desmond is Amazing   ""Never, in a million years, did I ever expect to read a story about an actual drag kid! It was amazing and inspiring and perfect for kids like me!"" --Nemis Quinn Mélançon Golden, aka Lactatia   ""A beautiful story of coming of age and self-realization . . . I love this book."" --E! the Dragnificent    ","Sterling Publishing Co., Inc.",2020-01-07,,,,,272,,,,,,,,,,,,,2025-06-16,1
book,"Slay (Reprint)","Brittney Morris",Brittney,Morris,9781534445437,1534445439,"An honors student at Jefferson Academy, seventeen-year-old Kiera enjoys developing and playing Slay, a secret, multiplayer online role-playing game celebrating black culture, until the two worlds collide.","Simon Pulse",2020-07-21,,,,,352,,,,,,,,,,,,,2025-06-16,1
book,Hoops,"Walter Dean Myers",Walter,Myers,9780307976116,0307976114,"All eyes are on seventeen-year-old Lonnie Jackson while he practices with his team for a city-wide basketball Tournament of Champions. His coach, Cal, knows Lonnie has what it takes to be a pro-basketball player, but warns him about giving in to the pressure. Cal knows because he, too, once had the chance--but sold out.As the Tournament nears, Lonnie learns that some heavy bettors want Cal to keep him on the bench so that the team will lose the championship. As the last seconds of the game tick away Lonnie and Cal must make a decision. Are they willing to blow the chance of a lifetime?",Ember,2012-02-14,,,,,192,,,,,,,,,,,,,2025-06-16,1
book,"The Epic Fail of Arturo Zamora","Pablo Cartaya",Pablo,Cartaya,9781101997253,1101997257,"A 2018 Pura Belpré Author Honor BookSave the restaurant. Save the town. Get the girl. Make Abuela proud. Can thirteen-year-old Arturo Zamora do it all or is he in for a BIG, EPIC FAIL? For Arturo, summertime in Miami means playing basketball until dark, sipping mango smoothies, and keeping cool under banyan trees. And maybe a few shifts as junior lunchtime dishwasher at Abuela’s restaurant. Maybe. But this summer also includes Carmen, a poetry enthusiast who moves into Arturo’s apartment complex and turns his stomach into a deep fryer. He almost doesn’t notice the smarmy land developer who rolls into town and threatens to change it. Arturo refuses to let his family and community go down without a fight, and as he schemes with Carmen, Arturo discovers the power of poetry and protest through untold family stories and the work of José Martí.Funny and poignant, The Epic Fail of Arturo Zamora is the vibrant story of a family, a striking portrait of a town, and one boy's quest to save both, perfect for fans of Rita Williams-Garcia.","Puffin Books",2018-04-03,,,,,272,,,,,,,,,,,,,2025-06-16,1
book,"The Female of the Species","Mindy McGinnis",Mindy,McGinnis,9780062320896,0062320890,"Edgar Award–winning author Mindy McGinnis delivers a dark and riveting contemporary YA novel that blends the unflinching honesty of Laurie Halse Anderson’s Speak with the relentless pacing and alternating perspectives of Gone Girl. A stunning, unforgettable page-turner.Alex Craft knows how to kill someone. And she doesn’t feel bad about it.Three years ago, when her older sister, Anna, was murdered and the killer walked free, Alex uncaged the language she knows best—the language of violence. While her own crime goes unpunished, Alex knows she can’t be trusted among other people. Not with Jack, the star athlete who wants to really know her but still feels guilty over the role he played the night Anna’s body was discovered. And not with Peekay, the preacher’s kid with a defiant streak who befriends Alex while they volunteer at an animal shelter. Not anyone.As their senior year unfolds, Alex’s darker nature breaks out, setting these three teens on a collision course that will change their lives forever.","Katherine Tegen Books",2016-09-20,,,,,352,,,,,,,,,,,,,2025-06-16,1
book,"My Life As an Ice Cream Sandwich","Ibi Zoboi",Ibi,Zoboi,9780399187353,0399187359,"National Book Award-finalist Ibi Zoboi makes her middle-grade debut with an unforgettable character: Ebony-Grace Norfleet, the sci-fi-obsessed granddaughter of one of the first black engineers to integrate NASA. Set in Harlem in the early days of hip-hop, My Life as an Ice Cream Sandwich is a moving and hilarious story of girl finding a place and a voice in a world that's changing at warp speed. In the summer of 1984, 12-year-old Ebony-Grace Norfleet makes the trip from Huntsville, Alabama, to Harlem, where she'll spend a few weeks with her father while her mother deals with some trouble that's arisen for Ebony-Grace's beloved grandfather, Jeremiah. Jeremiah Norfleet is a bit of a celebrity in Huntsville, where he was one of the first black engineers to integrate NASA two decades earlier. And ever since his granddaughter came to live with him when she was little, he's nurtured her love of all things outer space and science fiction--especially Star Wars and Star Trek, both of which she's watched dozens of time on Grandaddady's Betamax machine. So even as Ebony-Grace struggled to make friends among her peers, she could always rely on her grandfather and the imaginary worlds they created together. In Harlem, however, she faces a whole new challenge. Harlem in 1984 is an exciting and terrifying place for a sheltered girl from Hunstville, and her first instinct is to retreat into her imagination. But soon 126th Street begins to reveal that it has more in common with her beloved sci-fi adventures than she ever thought possible, and by summer's end, Ebony-Grace discovers that gritty and graffitied Harlem has a place for a girl whose eyes are always on the stars. Zoboi's middle-grade debut sets an utterly captivating character in a meticulously researched 1980s Harlem for a novel that will delight and inspire.","Dutton Books for Young Readers",2019-01-01,,,,,256,,,,,,,,,,,,,2025-06-16,1
book,"The Risk Pool","Richard Russo",Richard,Russo,9780679753834,0679753834,"A wonderfully funn and perceptive novel in the traditions of Thornton Wilder and Anne Tyler, The Risk Pool is set in Mohawk, New York, where Ned Hall is doing his best to grow up, even though neither of his estranged parents can properly be called adult.His father, Sam, cultivates bad habits so assiduously that he is stuck at the bottom of his auto insurance risk pool.  His mother, Jenny, is slowly going crazy from resentment at a husband who refuses either to stay or to stay away.  As Ned veers between allegiances to these grossly inadequate role models, Richard Russo gives us a book that overflows with outsized characters and outlandish predicaments and whose vision of family is at once irreverent and unexpectedly moving.",Vintage,1994-04-12,,,,,496,,,,,,,,,,,,,2025-06-16,1
book,"Growing up in Paradise","Mary Brooks (Foreword by), Helen Nelson, Edwin Nelson, Arch Wagner, Steve Aller (Illustrator)",Mary,Brooks,9780966575101,0966575105,,"Clairmont Publishing",1998-08-01,,,,,80,,,,,,,,,,,,,2025-06-16,1
