item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,Verity,"Colleen Hoover",Colleen,Hoover,9781538724736,1538724731,"A ""sublimely creepy"" psychological thriller from #1 New York Times bestselling author Colleen Hoover (Tarryn Fisher, New York Times bestselling author). Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.   Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered.   Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.","Grand Central Publishing",2021-10-26,,,,,336,,,,,,,,,,,,,2025-06-18,1
book,"Guns, Germs, and Steel: The Fates of Human Societies","Jared M. Diamond",Jared,Diamond,9780393317558,0393317552,"Winner of the Pulitzer Prize.In this ""artful, informative, and delightful"" (William H. McNeill, New York Review of Books) book, Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had had a head start in food production advanced beyond the hunter-gatherer stage, and then developed religion --as well as nasty germs and potent weapons of war --and adventured on sea and land to conquer and decimate preliterate cultures. A major advance in our understanding of human societies, Guns, Germs, and Steel chronicles the way that the modern world came to be and stunningly dismantles racially based theories of human history. Winner of the Pulitzer Prize, the Phi Beta Kappa Award in Science, the Rhone-Poulenc Prize, and the Commonwealth club of California's Gold Medal.","W. W. Norton & Company",1999-04-01,,,,,496,,,,,,,,,,,,,2025-06-18,1
book,"The Forgotten Girls","Sara Blaedel",Sara,Blaedel,9781455581511,1455581518,"Sara Blaedel--Denmark's ""Queen of Crime""--brings her #1 bestseller THE FORGOTTEN GIRLS to North America.THE FORGOTTEN GIRLSFour days later, Louise Rick still had no answers. The body of an unidentified woman was discovered in a local forest. A large, unique scar on one side of her face should have made the identification easy, but nobody has reported her missing. As the new commander of the Missing Persons Department, Louise risks involving the media by releasing a photo of the victim, hoping to find someone who knew her.Louise's gamble pays off: an older woman phones to say that she recognizes the woman as Lisemette, a child she once cared for in the state mental institution many years ago. Lisemette, like the other children in the institution, was abandoned by her family and branded a ""forgotten girl."" But Louise soon discovers something more disturbing: Lisemette had a twin, and both girls were issued death certificates more than thirty years ago. Aided by her friend journalist Camilla Lind, Louise finds that the investigation takes a surprising and unsettling turn when it brings her closer to her childhood home. And as she uncovers more crimes that were committed--and hidden--in the forest, she is forced to confront a terrible link to her own past that has been carefully concealed.","Grand Central Publishing",2015-10-06,,,,,352,,,,,,,,,,,,,2025-06-18,1
book,"The Basque History of the World: The Story of a Nation","Mark Kurlansky",Mark,Kurlansky,9780140298512,0140298517,"From Mark Kurlansky, the bestselling  author of Cod, Salt, and  Birdseye&mdash;the illuminating  story of an ancient and enigmatic people   Straddling a small corner of Spain  and France in a land that is marked on no maps except their own, the Basques are  a puzzling contradiction&mdash;they are Europe&#039;s oldest nation without ever having  been a country. No one has ever been able to determine their origins, and even  the Basques&#039; language, Euskera&mdash;the most ancient in Europe&mdash;is related to none other on earth. For centuries,  their influence has been felt in nearly every realm, from religion to sports to  commerce. Even today, the Basques are enjoying what may be the most important  cultural renaissance in their long existence.Mark Kurlansky&#039;s passion for the  Basque people and his exuberant eye for detail shine throughout this fascinating  book. Like Cod, The Basque History of the  World, blends human stories with economic, political, literary, and  culinary history into a rich and heroic tale.Among the Basques&#039; greatest  accomplishments:      Exploration&mdash;the first man to  circumnavigate the globe, Juan Sebastian de Elcano, was a Basque and the Basques  were the second Europeans, after the Vikings, in North  America       Gastronomy  and agriculture&mdash;they were the first Europeans to eat corn and chili peppers and  cultivate tobacco, and were among the first to use  chocolate       Religion&mdash;Ignatius Loyola, a Basque,  founded the Jesuit religious order       Business and  politics&mdash;they introduced capitalism and modern commercial banking to southern  Europe       Recreation&mdash;they invented beach  resorts, jai alai, and racing regattas, and were the first Europeans to play  sports with balls  &ldquo;A delectable portrait  of an uncanny, indomitable nation.&rdquo; &ndash;Newsday &ldquo;Exciting, Illuminating,  and thought provoking.&rdquo; &ndash;The Boston Globe Entertaining and  instructive&hellip; [Kurlansky&rsquo;s] approach is unorthodox, mixing history with  anecdotes, poems with recipes.&rdquo; &ndash;The New York Times Book  Review","Penguin Books",2001-02-01,,,,,400,,,,,,,,,,,,,2025-06-18,1
book,"Laugh-Out-Loud Jokes for Kids","Rob Elliott",Rob,Elliott,9780800788032,0800788036,"What happens to race car drivers when they eat too much? They get indy-gestion. Laugh-Out-Loud Jokes for Kids provides children ages 7-10 many hours of fun and laughter. Young readers will have a blast sharing this collection of hundreds of one-liners, knock knock jokes, tongue twisters, and more with their friends and family! This brand new book will have children rolling on the floor with laughter and is sure to be a great gift idea for any child.",Revell,2010-08-01,,,,,126,,,,,,,,,,,,,2025-06-18,1
book,"Miss Dahl's Voluptuous Delights: Recipes for Every Season, Mood, and Appetite","Sophie Dahl",Sophie,Dahl,9780061450990,0061450995,"Sophie Dahl, whose BBC cooking show “The Delicious Miss Dahl” is soon to be released in the UK, offers us mouthwatering recipes for 100 delightfully indulgent yet healthfully balanced dishes in Miss Dahl’s Voluptuous Delights. A former model, contributing editor at Men’s Vogue, and currently a regular contributor to the US and UK editions of Vogue and Waitrose Food Illustrated magazine, Dahl’s first love has always been food, a passion that resounds throughout the pages of Voluptuous Delights. Here are culinary wonders that celebrate the simple joys of cooking and eating—“Recipes for Every Season, Mood, and Appetite”—each “delight” exquisitely photographed and liberally spiced with the memories, misadventures, and travels that inspired them.","William Morrow Cookbooks",2010-03-02,,,,,288,,,,,,,,,,,,,2025-06-18,1
book,Workparent,"Daisy Dowling",Daisy,Dowling,9781633698390,1633698394,"An all-in-one resource for every working mother and father. Sure, there are plenty of parenting books out there. But as working moms and dads, we've never had a trusted, go-to guide all our own—one that coaches us on how to do well at work, be the loving and engaged parents we want to be, and remain true to ourselves in the process. Enter Workparent. Whether you're planning a family, pushing for promotion during your kids' teenage years, or at any phase in between, Workparent provides all the advice and assurance you'll need to combine children and career in your own, authentic way. Whatever your field or family structure, you'll learn how to: Find a childcare arrangement you fully trust Build a strong support team, at home and on the job Advocate for advancement—and flexibility Step up at work while keeping your family healthy and whole Tame guilt, self-doubt, worry, and other difficult emotions Navigate big transitions: the return from leave, a promotion or job change, or the arrival of a second child Manage day-to-day pressures, like scheduling, mealtimes, homework, and more Find—and really use—time off Feel more capable, calm, and in control Written by Daisy Dowling, a top executive coach, talent expert, and working mom, Workparent answers all of your questions and feels like a good talk with your favorite mentor. Finally, the handbook you need to thrive as a working parent.","Harvard Business Review Press",2021-05-25,,,,,576,,,,,,,,,,,,,2025-06-18,1
book,"Cherry Hill's Horse Care for Kids: Grooming, Feeding, Behavior, Stable &amp; Pasture, Health Care, Handling &amp; Safety, Enjoying","Cherry Hill",Cherry,Hill,9781580174077,1580174078,"Kids and horses - an irresistible combination. To strengthen the bond between young girls (the most passionate horse lovers of all!) and their equine companions, Cherry Hill presents the essentials of horse care in a format and tone perfect for the teen and pre-teen horse set. Beginning with how to match the right animal with the right rider and progressing through feeding, grooming, stabling, health care, safety, and much more, here is everything a young equestrian wants and needs to know about horses.","Storey Publishing, LLC",2002-08-05,,,,,128,,,,,,,,,,,,,2025-06-18,1
book,"Beauty Matters","Peg Zeglin Brand",Peg,Brand,9780253213754,0253213754,"Beauty has captured human interest since before Plato, but how, why, and to whom does beauty matter in today's world? Whose standard of beauty motivates African Americans to straighten their hair? What inspires beauty queens to measure up as flawless objects for the male gaze? Why does a French performance artist use cosmetic surgery to remake her face into a composite of the master painters' version of beauty? How does beauty culture perceive the disabled body? Is the constant effort to remain young and thin, often at considerable economic and emotional expense, ethically justifiable? Provocative essays by an international group of scholars discuss aesthetics in aesthetics, the arts, the tools of fashion, the materials of decoration, and the big business of beautification―beauty matters―to reveal the ways gender, race, and sexual orientation have informed the concept of beauty and driven us to become more beautiful. Here, Kant rubs shoulders with Calvin Klein. Beauty Matters draws from visual art, dance, cultural history, and literary and feminist theory to explore the values and politics of beauty. Various philosophical perspectives on ethics and aesthetics emerge from this penetrating book to determine and reveal that beauty is never disinterested.","Indiana University Press",2000-05-22,,,,,352,,,,,,,,,,,,,2025-06-18,1
book,"Guy Stuff Feelings","Cara Natterson",Cara,Natterson,9781683371748,1683371747,"You're growing up--and so are your feelings and emotions. As you enter puberty, not only is your body changing, but so are your emotions. You might feel your emotions more strongly or have new feelings you don't know how to talk about. From the author of the bestselling Guy Stuff: The Body Book for Boys, this book will help you learn to identify all the feelings you have, from anger to sadness to embarrassment to happiness. Then use the tips inside for managing and expressing your emotions in positive ways.","American Girl Publishing, Incorporated",2021-02-16,,,,,112,,,,,,,,,,,,,2025-06-18,1
