item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"The Dalai Lama's Cat","David Michie",David,Michie,9781401940584,1401940587,"Oh! How adorable! I didn&#039;t know you had a cat&#039; she exclaimed. I am always surprised how many people make this observation. Why should His Holiness not have a cat? &#039;If only she could speak&#039; continued the actress. &#039;I&#039;m sure she&#039;d have such wisdom to share&#039; And so the seed was planted . . . I began to think that perhaps the time had come for me to write a book of my own - a book that would convey some of the wisdom I&#039;ve learned sitting not at the feet of the Dalai Lama but even closer, on his lap. A book that would tell my own tale . . . how I was rescued from a fate too grisly to contemplate to become the constant companion of a man who is not only one of the world&#039;s greatest spiritual leaders and a Nobel Peace Prize Laureate but also a dab hand with a can opener Starving and pitiful, a mud-smeared kitten is rescued from the slums of New Delhi and transported to a life she could have never imagined. In a beautiful sanctuary overlooking the snow-capped Himalayas, she begins her new life as the Dalai Lama&#039;s cat. Warmhearted, irreverent, and wise, this cat of many names opens a window to the inner sanctum of life in Dharamsala. A tiny spy observing the constant flow of private meetings between His Holiness and everyone from Hollywood celebrities to philanthropists to self-help authors, the Dalai Lama&#039;s cat provides us with insights on how to find happiness and meaning in a busy, materialistic world. Her story will put a smile on the face of anyone who has been blessed by the kneading paws and bountiful purring of a cat.","Hay House Visions",2012-10-01,,,,,240,,,,,,,,,,,,,2025-06-13,1
book,"Joey Pigza Swallowed the Key (Joey Pigza Books)","Jack Gantos",Jack,Gantos,9780064408332,0064408337,"Joey Pigza can&#039;t sit still. He can&#039;t pay attention, he can&#039;t follow the rules, and he can&#039;t help it -- especially when his meds aren&#039;t working. Joey&#039;s had problems ever since he was born, problems just like his dad and grandma have. And whether he&#039;s wreaking havoc on a class trip or swallowing his house key, Joey&#039;s problems are getting worse. In fact, his behavior is so off the wall that his teachers are threatening to send him to the special-ed center downtown. Joey knows he&#039;s really a good kid, but no matter how hard he tries to do the right thing, something always seems to go wrong. Will he ever get anything right?",HarperCollins,2000-04-30,,,,,160,,,,,,,,,,,,,2025-06-13,1
book,"Are You There God?  It's Me, Margaret","Judy Blume",Judy,Blume,9780440404194,0440404193,"Are You There God? It&#039;s Me, Margaret No one ever told Margaret Simon that eleven-going-on- twelve would be such a hard age.&nbsp;&nbsp;When her family moves to New Jersey, she has to adjust to life in the suburbs, a different school, and a whole new group of friends.&nbsp;&nbsp;Margaret knows she needs someone to talk to about growing up-and it&#039;s not long before she&#039;s found a solution.Are you there God?&nbsp;&nbsp;It&#039;s me, Margaret. I can&#039;t wait until two o&#039;clock God.&nbsp;&nbsp;That&#039;s when our dance starts.&nbsp;&nbsp;Do you think I&#039;ll get Philip Leroy for a partner?&nbsp;&nbsp;It&#039;s not so much that I like him as a person God, but as a boy he&#039;s very handsome.&nbsp;&nbsp;And I&#039;d love to dance with him... just once or twice.&nbsp;&nbsp;Thank you God.",Yearling,1972-01-01,,,,,160,,,,,,,,,,,,,2025-06-13,1
book,"Hannah Arendt: For Love of the World, Second Edition","Elisabeth Young-Bruehl",Elisabeth,Young-Bruehl,9780300105889,0300105886,"This highly acclaimed, prize-winning biography of one of the foremost political philosophers of the twentieth century is here reissued in a trade paperback edition for a new generation of readers. In a new preface the author offers an account of writings by and about Arendt that have appeared since the book&rsquo;s 1982 publication, providing a reassessment of her subject&rsquo;s life and achievement.Praise for the earlier edition:&ldquo;Both a personal and an intellectual biography . . . It represents biography at its best.&rdquo;&mdash;Peter Berger, front page, The New York Times Book Review &ldquo;A story of surprising drama . . . . At last, we can see Arendt whole.&rdquo;&mdash;Jim Miller, Newsweek&ldquo;Indispensable to anyone interested in the life, the thought, or . . . the example of Hannah Arendt.&rdquo;&mdash;Mark Feeney, Boston Globe&ldquo;An adventure story that moves from pre-Nazi Germany to fame in the United States, and . . . a study of the influences that shaped a sharp political awareness.&rdquo;&mdash;Richmond (Va.) Times-DispatchCover drawing by David Schorr","Yale University Press",2004-10-11,,,,,620,,,,,,,,,,,,,2025-06-13,1
book,"Heroes and Saints and Other Plays: Giving Up the Ghost, Shadow of a Man, Heroes and Saints","Cherrie Moraga",Cherrie,Moraga,9780931122743,0931122740,"Heroes and Saints &amp; Other Plays is Chicana playwright Cherr&iacute;&not;e Moraga&#039;s premiere collection of theatre. Included are: Shadow of a Man, winner of the 1990 Fund for New American Plays Award; Heroes and Saints, winner of the Dramalogue, the PEN West, and the Critics Circle awards, as well as the Will Glickman Prize for Best Play of 1992; and Giving Up the Ghost, first published by West End Press in 1986, and now presented here in its revised stage version.","West End Press",1994-12-31,,,,,149,,,,,,,,,,,,,2025-06-13,1
book,"Ceremony (Contemporary American Fiction Series)","Leslie Marmon Silko",Leslie,Silko,9780140086836,0140086838,"Tayo, a young Native American, has been a prisoner of the Japanese during World War II, and the horrors of captivity have almost eroded his will to survive. His return to the Laguna Pueblo reservation only increases his feeling of estrangement and alienation. While other returning soldiers find easy refuge in alcohol and senseless violence, Tayo searches for another kind of comfort and resolution.   Tayo&#039;s quest leads him back to the Indian past and its traditions, to beliefs about witchcraft and evil, and to the ancient stories of his people. The search itself becomes a ritual, a curative ceremny that defeats the most virulent of afflictions&mdash;despair.","Penguin Books",1986-03-04,,,,,260,,,,,,,,,,,,,2025-06-13,1
book,"And the Bridge Is Love","Faye Moskowitz",Faye,Moskowitz,9780807063279,0807063274,,"Beacon Press",1993-08-01,,,,,160,,,,,,,,,,,,,2025-06-13,1
book,"Sweet Theft: A Poet's Commonplace Book","J.D. McClatchy",J.D.,McClatchy,9781619027138,1619027135,"Centuries ago, when books were rare, those who owned them would lend them to friends, who in turn would copy out passages they especially liked before returning the precious book to its owner. These anthologies came to be known as Commonplace Books, and modern writers as different as W. H. Auden and Alec Guinness have kept them as well, recording phrases or passages that struck them as wise or witty or quirky. The result is as much the self-portrait of a sensibility as it is a collection of miscellaneous delights. Renowned poet J. D. McClatchy has been keeping such a book for three decades now. This selection from it offers a unique look into what strange facts, what turns of mind or phrase, what glorious feats of language and nature can attract the attention of a poet.    The great and the obscure are gathered around the same table, exchanging remarkable opinions. Henry James is speaking of Venice: The deposed, the defeated, the disenchanted, the wounded, or even only the bored, have seemed to find there something that no other place could give.” At the other end of the table, Groucho Marx is playing drama critic: I didn’t like the play, but then I saw it under adverse circumstancesthe curtain was up.” Nietzsche and Flaubert, Dizzy Gillespie and Marianne Mooredozens of unexpected and timeless aphorisms and anecdotes that pierce and provoke. Many of McClatchy’s own observations about the art and prowess of writing are included as well.   This is a book meant to be sipped, not gulped; meant to be read at leisure and pondered on at length.",Counterpoint,2016-04-12,,,,,256,,,,,,,,,,,,,2025-06-13,1
book,"Schindler's List","Thomas Keneally",Thomas,Keneally,9780671880316,0671880314,"Winner of the Booker Prize  Winner of the Los Angeles Times Book Award for Fiction  Schindler&#039;s List is a remarkable work of fiction based on the true story of German industrialist and war profiteer, Oskar Schindler, who, confronted with the horror of the extermination camps, gambled his life and fortune to rescue 1,300 Jews from the gas chambers.  Working with the actual testimony of Schindler&#039;s Jews, Thomas Keneally artfully depicts the courage and shrewdness of an unlikely savior, a man who is a flawed mixture of hedonism and decency and who, in the presence of unutterable evil, transcends the limits of his own humanity.",Touchstone,1993-12-01,,,,,400,,,,,,,,,,,,,2025-06-13,1
book,"The Partition","Don Lee",Don,Lee,9781636140315,1636140319,"A thrilling new story collection from acclaimed writer Don Lee exploring Asian American identity, spanning decades and continents ""The Partition is flat-out brilliant: a witty, kaleidoscopic tear through questions of race and identity in America today by a writer who has wrought luminous fiction from these issues for years. Don Lee's collection offers vivid, entertaining proof that ethnicity is never straightforward or easy--no matter who we are, or where we stand."" --Jennifer Egan, Pulitzer Prize-winning author of A Visit from the Goon Squad ""Whatever you're hiding from may find you in a Don Lee story. But this isn't a warning. The Partition is, again and again, about Asian Americans in ways we don't always admit we need, a collection about how we alternately cheat and show up for each other and ourselves. And the whole time, there's a canny, shrewd love, guiding us the way through."" --Alexander Chee, author of How to Write an Autobiographical Novel Twenty-one years after the publication of his landmark debut collection Yellow, Don Lee returns to the short story form for his sixth book, The Partition. The Partition is an updated exploration of Asian American identity, this time with characters who are presumptive model minorities in the arts, academia, and media. Spanning decades, these nine novelistic stories traverse an array of cities, from Tokyo to Boston, Honolulu to El Paso, touching upon transient encounters in local bars, restaurants, and hotels. Culminating in a three-story cycle about a Hollywood actor, The Partition incisively examines heartbreak, identity, family, and relationships--the characters searching for answers to universal questions: Where do I belong? How can I find love? What defines an authentic self?","Akashic Books",2022-05-10,,,,,296,,,,,,,,,,,,,2025-06-13,1
