item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Jack Strong Takes a Stand (Charlie Joe Jackson)","Tommy Greenwald",Tommy,Greenwald,9781250056870,125005687X,"Jack Strong just wants to be a regular kid. But his parents have overscheduled his week with every extracurricular activity under the sun: tennis, baseball, cello, karate, tutoring, and Chinese language lessons--all on top of regular homework. His parents want him to be ""well-rounded"" and prepared for those crucial college applications. Jack's just about had enough. And so, he stages a sit-in on his couch and refuses to get up until his parents let him quit some of the extracurriculars. As Jack's protest gains momentum, he attracts a local television host who is interested in doing a segment about him. Tensions rise as counter-protesters camp out across the street from Jack and his couch. Jack's enjoying this newfound attention, but he's worried that this sit-in may have gone too far.","Square Fish",2015-01-27,,,,,256,,,,,,,,,,,,,2025-06-20,1
book,"Master and Commander","Patrick O'Brian",Patrick,O'Brian,9780393307054,0393307050,"The beginning to the sweeping Aubrey/Maturin series. &quot;The best sea story I have ever read.&quot;&mdash;Sir Francis ChichesterThis, the first in the splendid series of Jack Aubrey novels, establishes the friendship between Captain Aubrey, R.N., and Stephen Maturin, ship&#039;s surgeon and intelligence agent, against a thrilling backdrop of the Napoleonic wars. Details of a life aboard a man-of-war are faultlessly rendered: the conversational idiom of the officers in the ward room and the men on the lower deck, the food, the floggings, the mysteries of the wind and the rigging, and the roar of broadsides as the great ships close in battle.","W. W. Norton & Company",1990-08-17,,,,,464,,,,,,,,,,,,,2025-06-20,1
book,"Station Eleven","Emily St. John Mandel",Emily,Mandel,9780804172448,0804172447,"A National Book Award FinalistA PEN/Faulkner Award Finalist Kirsten Raymonde will never forget the night Arthur Leander, the famous Hollywood actor, had a heart attack on stage during a production of King Lear. That was the night when a devastating flu pandemic arrived in the city, and within weeks, civilization as we know it came to an end. Twenty years later, Kirsten moves between the settlements of the altered world with a small troupe of actors and musicians. They call themselves The Traveling Symphony, and they have dedicated themselves to keeping the remnants of art and humanity alive. But when they arrive in St. Deborah by the Water, they encounter a violent prophet who will threaten the tiny band’s existence. And as the story takes off, moving back and forth in time, and vividly depicting life before and after the pandemic, the strange twist of fate that connects them all will be revealed.",Vintage,2015-06-02,,,,,352,,,,,,,,,,,,,2025-06-20,1
book,"Song to Drown Rivers","Ann Liang",Ann,Liang,9781250289469,1250289467,"Preorder now and receive the stunning DELUXE LIMITED EDITION while supplies last―featuring a gold foiled cover, gorgeous sprayed edges with stenciled artwork, as well as exclusive metallic ink patterned endpapers and unique foiled front and back case stamps. This breathtaking collectible is only available on a limited first print run, a must-have for any book lover. “Exquisite and devastating. It won’t fail to move you.” —Shelley Parker-Chan, #1 bestselling author of She Who Became the Sun Inspired by the legend of Xishi, one of the famous Four Beauties of Ancient China, A Song to Drown Rivers is an epic historical fantasy about womanhood, war, sacrifice, and love against all odds as the fate of two kingdoms hangs in a delicate balance. Her beauty hides a deadly purpose. Xishi’s beauty is seen as a blessing to the villagers of Yue—convinced that the best fate for a girl is to marry well and support her family. When Xishi draws the attention of the famous young military advisor, Fanli, he presents her with a rare opportunity: to use her beauty as a weapon. One that could topple the rival neighboring kingdom of Wu, improve the lives of her people, and avenge her sister’s murder. All she has to do is infiltrate the enemy palace as a spy, seduce their immoral king, and weaken them from within. Trained by Fanli in everything from classical instruments to concealing emotion, Xishi hones her beauty into the perfect blade. But she knows Fanli can see through every deception she masters, the attraction between them burning away any falsehoods. Once inside the enemy palace, Xishi finds herself under the hungry gaze of the king’s advisors while the king himself shows her great affection. Despite his gentleness, a brutality lurks and Xishi knows she can never let her guard down. But the higher Xishi climbs in the Wu court, the farther she and Fanli have to fall—and if she is unmasked as a traitor, she will bring both kingdoms down. ""Stunning and heart-rending."" —Chloe Gong, #1 bestselling author of Immortal Longings","St. Martin's Press",2024-10-01,,,,,336,,,,,,,,,,,,,2025-06-20,1
book,"The Marriage Plot: A Novel","Jeffrey Eugenides",Jeffrey,Eugenides,9780374203054,0374203059,"A New York Times Notable Book of 2011A Publisher&#039;s Weekly Top 10 Book of 2011 A Kirkus Reviews Top 25 Best Fiction of 2011 Title One of Library Journal&#039;s Best Books of 2011A Salon Best Fiction of 2011 titleOne of The Telegraph&rsquo;s Best Fiction Books of the Year 2011 It&rsquo;s the early 1980s&mdash;the country is in a deep recession, and life after college is harder than ever. In the caf&eacute;s on College Hill, the wised-up kids are inhaling Derrida and listening to Talking Heads. But Madeleine Hanna, dutiful English major, is writing her senior thesis on Jane Austen and George Eliot, purveyors of the marriage plot that lies at the heart of the greatest English novels.As Madeleine tries to understand why &ldquo;it became laughable to read writers like Cheever and Updike, who wrote about the suburbia Madeleine and most of her friends had grown up in, in favor of reading the Marquis de Sade, who wrote about deflowering virgins in eighteenth-century France,&rdquo; real life, in the form of two very different guys, intervenes. Leonard Bankhead&mdash;charismatic loner, college Darwinist, and lost Portland boy&mdash;suddenly turns up in a semiotics seminar, and soon Madeleine finds herself in a highly charged erotic and intellectual relationship with him. At the same time, her old &ldquo;friend&rdquo; Mitchell Grammaticus&mdash;who&rsquo;s been reading Christian mysticism and generally acting strange&mdash;resurfaces, obsessed with the idea that Madeleine is destined to be his mate.Over the next year, as the members of the triangle in this amazing, spellbinding novel graduate from college and enter the real world, events force them to reevaluate everything they learned in school. Leonard and Madeleine move to a biology Laboratory on Cape Cod, but can&rsquo;t escape the secret responsible for Leonard&rsquo;s seemingly inexhaustible energy and plunging moods. And Mitchell, traveling around the world to get Madeleine out of his mind, finds himself face-to-face with ultimate questions about the meaning of life, the existence of God, and the true nature of love.Are the great love stories of the nineteenth century dead? Or can there be a new story, written for today and alive to the realities of feminism, sexual freedom, prenups, and divorce? With devastating wit and an abiding understanding of and affection for his characters, Jeffrey Eugenides revives the motivating energies of the Novel, while creating a story so contemporary and fresh that it reads like the intimate journal of our own lives.","Farrar, Straus and Giroux",2011-10-11,,,,,416,,,,,,,,,,,,,2025-06-20,1
book,"Anita de Monte Laughs Last","Xochitl Gonzalez",Xochitl,Gonzalez,9781250786210,1250786215,"New York Times bestselling author Xochitl Gonzalez delivers a mesmerizing novel about a first-generation Ivy League student who uncovers the genius work of a female artist decades after her suspicious death A Most Anticipated Book of 2024: TIME, The Washington Post, Refinery 29, Barnes &amp; Noble, Marie Clare, Real Simple, Entertainment Weekly, LA Daily News, LitHub, The Millions, TODAY.com, HipLatina, Book Riot, Kirkus, and more! ""Incandescent."" —Publishers Weekly (starred review) 1985. Anita de Monte, a rising star in the art world, is found dead in New York City; her tragic death is the talk of the town. Until it isn’t. By 1998 Anita’s name has been all but forgotten—certainly by the time Raquel, a third-year art history student is preparing her final thesis. On College Hill, surrounded by privileged students whose futures are already paved out for them, Raquel feels like an outsider. Students of color, like her, are the minority there, and the pressure to work twice as hard for the same opportunities is no secret. But when Raquel becomes romantically involved with a well-connected older art student, she finds herself unexpectedly rising up the social ranks. As she attempts to straddle both worlds, she stumbles upon Anita’s story, raising questions about the dynamics of her own relationship, which eerily mirrors that of the forgotten artist. Moving back and forth through time and told from the perspectives of both women, Anita de Monte Laughs Last is a propulsive, witty examination of power, love, and art, daring to ask who gets to be remembered and who is left behind in the rarefied world of the elite.","Flatiron Books",2024-03-05,,,,,352,,,,,,,,,,,,,2025-06-20,1
book,"Tomb Sweeping by Alexandra Chang, Stories Collection, Hardcover Book of the Month","Alexandra Chang",Alexandra,Chang,9781639109630,1639109633,"Dive into 'Tomb Sweeping,' a captivating collection of stories by Alexandra Chang that weaves together contemporary narratives with cultural depth and emotional resonance. This hardcover Book of the Month selection presents a tapestry of interconnected tales that explore themes of identity, family, and tradition. Through Chang's masterful storytelling, readers will encounter richly drawn characters navigating complex relationships and cultural intersections. The collection's title story sets the tone for an exploration of heritage and modern life, while subsequent narratives build upon these themes with nuance and insight. Each story within this carefully crafted volume offers a window into different worlds while maintaining a cohesive narrative thread. Perfect for readers who appreciate literary fiction that combines cultural exploration with contemporary storytelling, this collection promises to engage and resonate with its thoughtful examination of human connections and personal histories.","Harper Collins",2023-01-01,,,,,,,,,,,,,,,,,,2025-06-20,1
book,"The Shape of Mercy: A Novel","Susan Meissner",Susan,Meissner,9781400074563,1400074568,"&ldquo;We understand what we want to understand.&rdquo;Leaving a life of privilege to strike out on her own, Lauren Durough breaks with convention and her family&rsquo;s expectations by choosing a state college over Stanford and earning her own income over accepting her ample monthly allowance.  She takes a part-time job from 83-year-old librarian Abigail Boyles, who asks Lauren to transcribe the journal entries of her ancestor Mercy Hayworth, a victim of the Salem witch trials.  Almost immediately, Lauren finds herself drawn to this girl who lived and died four centuries ago. As the fervor around the witch accusations increases, Mercy becomes trapped in the worldview of the day, unable to fight the overwhelming influence of snap judgments and superstition, and Lauren realizes that the secrets of Mercy&rsquo;s story extend beyond the pages of her diary, living on in the mysterious, embittered Abigail. The strength of her affinity with Mercy forces Lauren to take a startling new look at her own life, including her relationships with Abigail, her college roommate, and a young man named Raul.  But on the way to the truth, will Lauren find herself playing the helpless defendant or the misguided judge?  Can she break free from her own perceptions and see who she really is?","WaterBrook Press",2008-09-16,,,,,320,,,,,,,,,,,,,2025-06-20,1
book,"Lincoln on Leadership: Executive Strategies for Tough Times","Donald T. Phillips",Donald,Phillips,9780446394598,0446394599,"Lincoln on Leadership is the first book to examine Abraham Lincoln&#039;s diverse leadership abilities and how they can be applied to today&#039;s complex world.","Warner Books, Inc.",1993-02-01,,,,,188,,,,,,,,,,,,,2025-06-20,1
book,"Without Fail (Jack Reacher, No. 6)","Lee Child",Lee,Child,9780515144314,0515144312,"A covert group of assassins has the Vice President of the United States in their sights. They've planned well. There's just one thing they didn't plan on: Jack Reacher.",Berkley,2008-02-26,,,,,560,,,,,,,,,,,,,2025-06-20,1
