item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"All Adults Here","Emma Straub",Emma,Straub,9781594634697,1594634696,"AN INSTANT NEW YORK TIMES BESTSELLER A TODAY SHOW #ReadWithJenna BOOK CLUB PICK! ""In a time when all we want is hope, it’s a beautiful book to reach for."" -Jenna Bush Hager ""Brimming with kindness, forgiveness, humor and love and yet (magically) also a page turner that held me captive until it was finished. This is Emma Straub's absolute best and the world will love it. I love it."" —Ann Patchett “An immensely charming and warmhearted book. It’s a vacation for the soul.”—Vox A warm, funny, and keenly perceptive novel about the life cycle of one family--as the kids become parents, grandchildren become teenagers, and a matriarch confronts the legacy of her mistakes. From the New York Times bestselling author of Modern Lovers and The Vacationers, and the forthcoming novel This Time Tomorrow. When Astrid Strick witnesses a school bus accident in the center of town, it jostles loose a repressed memory from her young parenting days decades earlier. Suddenly, Astrid realizes she was not quite the parent she thought she'd been to her three, now-grown children. But to what consequence? Astrid's youngest son is drifting and unfocused, making parenting mistakes of his own. Her daughter is pregnant yet struggling to give up her own adolescence. And her eldest seems to measure his adult life according to standards no one else shares. But who gets to decide, so many years later, which long-ago lapses were the ones that mattered? Who decides which apologies really count? It might be that only Astrid's thirteen-year-old granddaughter and her new friend really understand the courage it takes to tell the truth to the people you love the most. In All Adults Here, Emma Straub's unique alchemy of wisdom, humor, and insight come together in a deeply satisfying story about adult siblings, aging parents, high school boyfriends, middle school mean girls, the lifelong effects of birth order, and all the other things that follow us into adulthood, whether we like them to or not.","Riverhead Books",2020-05-05,,,,,368,,,,,,,,,,,,,2025-06-19,1
book,Displacement,"Kiku Hughes",Kiku,Hughes,9781250193537,1250193532,"Kiku is on vacation in San Francisco when suddenly she finds herself displaced to the 1940s Japanese-American internment camp that her late grandmother, Ernestina, was forcibly relocated to during World War II. These displacements keep occurring until Kiku finds herself ""stuck"" back in time. Living alongside her young grandmother and other Japanese-American citizens in internment camps, Kiku gets the education she never received in history class. She witnesses the lives of Japanese-Americans who were denied their civil liberties and suffered greatly, but managed to cultivate community and commit acts of resistance in order to survive. Kiku Hughes weaves a riveting, bittersweet tale that highlights the intergenerational impact and power of memory.","First Second",2020-08-18,,,,,288,,,,,,,,,,,,,2025-06-19,1
book,"Bringing Your Soul to Work: An Everyday Practice","Cheryl Peppers, Alan Briskin",Cheryl,Peppers,9781576751114,1576751112,"People have begun to expect more from their jobs than Dilbertesque monotony. Bringing Your Soul to Work links ideas about the soul directly to the realities of the workplace, offering a path for growth and positive change in sync with the job a person already has. The authors explore ways to connect the true self with the demands and sacrifices required by a career and offer insight on maintaining inner faith in the face of tensions, contradictions, and cynicism. Readers are invited to investigate the darker aspects of their personality for a greater understanding of the vast richness of their interior world. Both inspirational and practical, this book is for anyone seeking to bridge their spiritual values with work, willing to explore unknown elements of their personality, and interested in discovering new perspectives.","Berrett-Koehler Publishers",2000-08-30,,,,,260,,,,,,,,,,,,,2025-06-19,1
book,"Immigrant, Montana: A novel","Amitava Kumar",Amitava,Kumar,9780525520757,0525520759,"The author of the widely praised Lunch with a Bigot now gives us a remarkable novel--reminiscent of Teju Cole, W. G. Sebald, John Berger--about a young new immigrant to the United States in search of love: across dividing lines between cultures, between sexes, and between the particular desires of one man and the women he comes to love.The young man is Kailash, from India. His new American friends call him Kalashnikov, AK-47, AK. He takes it all in his stride: he wants to fit in--and more than that, to shine. In the narrative of his years at a university in New York, AK describes the joys and disappointments of his immigrant experience; the unfamiliar political and social textures of campus life; the indelible influence of a charismatic professor--also an immigrant, his personal history as dramatic as AK's is decidedly not; the very different natures of the women he loved, and of himself in and out of love with each of them. Telling his own story, AK is both meditative and the embodiment of the enthusiasm of youth in all its idealism and chaotic desires. His wry, vivid perception of the world he's making his own, and the brilliant melding of story and reportage, anecdote and annotation, picture and text, give us a singularly engaging, insightful, and moving novel--one that explores the varieties and vagaries of cultural misunderstanding, but is, as well, an impassioned investigation of love.",Knopf,2018-07-31,,,,,320,,,,,,,,,,,,,2025-06-19,1
book,"The Girl on the Train (Movie Tie-In)","Paula Hawkins",Paula,Hawkins,9780735212169,0735212163,"The #1 New York Times Bestseller, USA Today Book of the Year, soon to be a major motion picture starring Emily Blunt. The debut psychological thriller that will forever change the way you look at other people's lives. “Nothing is more addicting than The Girl on the Train.”—Vanity Fair“The Girl on the Train has more fun with unreliable narration than any chiller since Gone Girl. . . . [It] is liable to draw a large, bedazzled readership.”—The New York Times “Marries movie noir with novelistic trickery. . . hang on tight. You'll be surprised by what horrors lurk around the bend.”—USA Today “Like its train, the story blasts through the stagnation of these lives in suburban London and the reader cannot help but turn pages.”—The Boston Globe“Gone Girl fans will devour this psychological thriller.”—People   EVERY DAY THE SAMERachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. She’s even started to feel like she knows them. Jess and Jason, she calls them. Their life—as she sees it—is perfect. Not unlike the life she recently lost.UNTIL TODAYAnd then she sees something shocking. It’s only a minute until the train moves on, but it’s enough. Now everything’s changed. Unable to keep it to herself, Rachel goes to the police. But is she really as unreliable as they say? Soon she is deeply entangled not only in the investigation but in the lives of everyone involved. Has she done more harm than good?","Riverhead Books",2016-08-23,,,,,416,,,,,,,,,,,,,2025-06-19,1
book,"Negotiating The Future: A Labor Perspective On American Business","Barry Bluestone",Barry,Bluestone,9780465049172,0465049176,"It is no secret that corporate America is in trouble—as are labor unions—and a principal reason is our archaic system of labor-management relations, which excludes labor from participating in, and sharing responsibility for, the growth and profitability of the enterprises for which it works. In a book sure to arouse controversy in both management and labor circles, Barry and Irving Bluestone propose a new Enterprise Compact under which labor becomes co-responsible with management for all strategic business decisions—pricing, investment, plant location, and more.","Basic Books",1992-11-24,,,,,352,,,,,,,,,,,,,2025-06-19,1
book,"Reel Bad Arabs: How Hollywood Vilifies a People","Jack G. Shaheen",Jack,Shaheen,9781566563888,1566563887,"Countless movies have portrayed Arabs as loathsome lechers who terrorise, murder, and finally die in drovesl In Reel Bad Arabs film scholar Jack Shaheen exposes in fascinating detail this appalling side of the Hollywood 'dream' machine. This stupendous study dissects this slanderous history dating from cinema's earliest days to contemporary Hollywood blockbusters that feature Bedouin bandits, sinister sheikhs, machine-gun wielding and bomb-blowing ""evil"" Arabs. He examines how and why such a stereotype has grown and spread in the film industry and what may be done to change Hollywood's defamation of Arabs.","Interlink Publishing Group",2001-07-31,,,,,592,,,,,,,,,,,,,2025-06-19,1
book,"That Kind of Mother","Rumaan Alam",Rumaan,Alam,9780062667618,0062667610,"NAMED A RECOMMENDED BOOK OF 2018 BY: Buzzfeed * The Boston Globe *  The Millions * InStyle * Southern Living * Vogue * Popsugar * Kirkus * The Washington Post * Library Journal * Real Simple * NPR ""With his unerring eye for nuance and unsparing sense of irony, Rumaan Alam's second novel is both heartfelt and thought-provoking.""    -- Celeste Ng, author of Little Fires Everywhere From the celebrated author of Rich and Pretty, a novel about the families we fight to build and those we fight to keep Like many first-time mothers, Rebecca Stone finds herself both deeply in love with her newborn son and deeply overwhelmed. Struggling to juggle the demands of motherhood with her own aspirations and feeling utterly alone in the process, she reaches out to the only person at the hospital who offers her any real help--Priscilla Johnson--and begs her to come home with them as her son's nanny. Priscilla's presence quickly does as much to shake up Rebecca's perception of the world as it does to stabilize her life. Rebecca is white, and Priscilla is black, and through their relationship, Rebecca finds herself confronting, for the first time, the blind spots of her own privilege. She feels profoundly connected to the woman who essentially taught her what it means to be a mother. When Priscilla dies unexpectedly in childbirth, Rebecca steps forward to adopt the baby. But she is unprepared for what it means to be a white mother with a black son. As she soon learns, navigating motherhood for her is a matter of learning how to raise two children whom she loves with equal ferocity, but whom the world is determined to treat differently. Written with the warmth and psychological acuity that defined his debut, Rumaan Alam has crafted a remarkable novel about the lives we choose, and the lives that are chosen for us.","HarperCollins Publishers",2019-02-19,,,,,304,,,,,,,,,,,,,2025-06-19,1
book,"All You Can Ever Know","Nicole Chung",Nicole,Chung,9781948226370,1948226375,"Long-listed for PEN Open Book Award Named a Best Book of the Year byThe Washington Post, NPR,Time,The Boston Globe,Real Simple,Buzzfeed, Jezebel,Bustle,Library Journal, Chicago Public Library, and more ""This book moved me to my very core. . . . [All You Can Ever Know] should be required reading for anyone who has ever had, wanted, or found a familyâe*which is to say, everyone."" âe*Celeste Ng, author ofLittle Fires Everywhere What does it mean to lose your roots--within your culture, within your family--and what happens when you find them? Nicole Chung was born severely premature, placed for adoption by her Korean parents, and raised by a white family in a sheltered Oregon town. From childhood, she heard the story of her adoption as a comforting, prepackaged myth. She believed that her biological parents had made the ultimate sacrifice in the hope of giving her a better life, that forever feeling slightly out of place was her fate as a transracial adoptee. But as Nicole grew up--facing prejudice her adoptive family couldn't see, finding her identity as an Asian American and as a writer, becoming ever more curious about where she came from--she wondered if the story she'd been told was the whole truth. With warmth, candor, and startling insight, Nicole Chung tells of her search for the people who gave her up, which coincided with the birth of her own child.All You Can Ever Know is a profound, moving chronicle of surprising connections and the repercussions of unearthing painful family secrets--vital reading for anyone who has ever struggled to figure out where they belong.",Catapult,2019-10-15,,,,,256,,,,,,,,,,,,,2025-06-19,1
book,"The Marrow of Tradition (Ann Arbor Paperbacks)","Charles W. Chesnutt",Charles,Chesnutt,9780472061471,047206147X,"A stirring tale of racial confrontation in a reconstructionist Southern town, first published in 1901","Ann Arbor Paperbacks",1969-08-15,,,,,352,,,,,,,,,,,,,2025-06-19,1
