item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,added,copies,collection,physical_format,revision,categories,language,public_domain,subjects,weight
book,Chicka Chicka Boom Boom (Classic Board Books),"Bill Martin Jr., John Archambault",Bill,Jr.,9781442450707,1442450703,"The complete edition of the bestselling children&rsquo;s favorite, Chicka Chicka Boom Boom, is now available as a Classic Board Book!A told B and B told C,&ldquo;I&rsquo;ll meet you at the topof the coconut tree.&rdquo;&nbsp;&nbsp;&nbsp;&nbsp; When all the letters of the alphabet race one another up the coconut tree, will there be enough room?Of course there is always enough room for this rollicking alphabet chant that has been a children&rsquo;s favorite for more than twenty years! Bill Martin Jr and John Archambault&rsquo;s rhythmic text keeps the beat with Caldecott Honor illustrator Lois Ehlert&rsquo;s bold, cheerful art. This winning combination has created a series of enduring Chicka Chicka favorites, and now, for the first time ever, the complete edition of the original Chicka Chicka Boom Boom story is available as a Classic Board Book. With sturdy pages and rounded corners, this portable edition of an irresistible alphabet romp will delight a new generation of young readers.",Little Simon,2012-08-28,,,,,36.0,2025-06-19,1,Woodbine,Paperback,10.0,Juvenile Nonfiction,en,False,,
book,Ten Gators in the Bed,Johnette Downing,Johnette,Downing,9781941879023,1941879020,"True to her Louisiana culture, Johnette brings readers deep into the swamp where ten gators pile into bed in their Acadian home. Based on a familiar tune, this singing book, with vibrant foam and paper illustrations, is a perfect counting and bedtime story for babies and gators - who find out who gets to sleep in the bed and who has to sleep in the swamp!",River Road Press,2015-10-01,,,,,,2025-06-19,1,Woodbine,,1.0,Alligators,en,False,"Children's fiction, Family",0.014
book,The Bible App For Kids Storybook Bible,YouVersion in partnership with OneHope Inc.,YouVersion,Inc.,9781630490652,1630490652,"The Bible App for Kids Storybook Bible is an all–new, delight–filled Bible experience designed to help your children fall in love with God's Word. Based on the most downloaded Bible story app in the world, the Bible App for Kids Storybook Bible brings the Bible to life for your whole family, with colorful illustrations and engaging storytelling. You'll thrill to see God part the Red Sea for Moses and the Israelites as they flee their Egyptian pursuers. When the baby Jesus is born, you'll rejoice with the angels as they fill the sky to herald his birth. You'll marvel as Jesus feeds five thousand people, miraculously multiplying five loaves and two fishes offered by a little boy. The Bible App for Kids Storybook Bible features 28 quintessential Bible stories that are easily understood by children but enjoyed by entire families.  BibleAppforKids.com","YouVersion and OneHope, Inc./ Winters Publishing Group",2015-10-13,,,,,416.0,2025-06-19,1,Woodbine,hardcover,3.0,Juvenile Nonfiction,en,False,,
book,"Payback (Stephen Coonts' Deep Black, Book 4)","Stephen Coonts, Jim DeFelice",Stephen,Coonts,9780312936983,312936982,"RECRUITED:A crack team of cover agents.Word is out to ex-Marine sniper Charlie Dean and his team of the National Security Agency: Infiltrate the highest stratum of Peruvian political power and derail a renegade general from acing an election. All Dean has to do is find a way inside an impenetrable bank vault protected by armed guards round the clock&ndash;it&rsquo;s all in a day&rsquo;s work for the men and women of Deep Black.ENGAGED:A violent political coupBut things get complicated when Dean and company discover the renegade general&rsquo;s second plot. The military madman&rsquo;s ruse&mdash;a nuclear weapon he claims is in the hands of Marxist guerillas, a bomb that only he can rescue&hellip;and control.IGNITED:A devastating terrorist plot.When the general and his plot are exposed, the NSA concludes the greatest threat is over. But in fact, it&rsquo;s only just beginning&hellip;",St. Martin's Paperbacks,2005-10-04,,,,,480.0,2025-06-19,1,Woodbine,,10.0,Fiction,en,False,"Intelligence officers -- Fiction, Undercover operations -- Fiction, National security -- Fiction, Cyberterrorism -- Fiction",
book,Gem Squash Tokoloshe,Rachel Zadok,Rachel,Zadok,9780330441193,330441191,"She just sat there hardly moving, staring at the drive. Black marks formed under her eyes where her lashes bled their waxy coating onto her skin. Her rouged cheeks were smudged. Mother looked like she was melting in the heat. Faith leads an isolated existence on her family&#039;s drought stricken farm in the Northern Transvaal of South Africa. When the rain stopped, her father took to the road as a travelling salesman, returning only at weekends. Now Faith lives with her mother Bella and dog Boesman anticipating his visits - until one day he stops coming and Bella&#039;s health begins to go into rapid decline. Fifteen years later Bella has died incarcerated in the Sterkfontein asylum for the criminally insane. Faith has not spoken to her mother for ten years and is on the brink of a breakdown of her own. Now, with her mother&#039;s death, she inherits the farm and must return to confront the dark mysteries of the past...In prose as lithe and imaginative as that of Alexandra Fuller, Rachel Zadok te Riele recreates the voice of a young girl growing up during the height of apartheid unrest in South Africa.As Faith struggles to make sense of the complex world in which she lives and come to terms with the beliefs her society and upbringing have inculcated in her, what emerges is a richly compelling, emotionally resonant tale of courage set against the backdrop of a chaotically divided and deeply beautiful country.",Pan Books,2005-09-16,,,,,320.0,2025-06-19,1,Woodbine,Paperback,9.0,Apartheid,en,False,Modern fiction,7.8 ounces
book,Preggatinis: Mixology for the Mom-to-Be,Natalie Bovis Nelsen,Natalie,Nelsen,9781599214542,1599214547,"Within these pages are 75 original Preggatini recipes highlighting fresh juices, herbs, and garnishes as well as ideas for Preggatini Parties&mdash;a modern spin on the humdrum baby shower.",GPP Life,2009-01-13,,,,,160.0,2025-06-19,1,Woodbine,,10.0,Cooking,en,False,"Non-alcoholic cocktails, Pregnant women",
book,I Am Not Okay with This,Charles Forsman,Charles,Forsman,9781683963318,1683963318,"Sydney seems like a normal, rudderless fifteen-year-old freshman. She hangs out underneath the bleachers, blasts music in her friend's car, and gets into arguments with her annoying little brother. But she also has a few secrets she's only shared in her diary: how she's in love with her best friend, the bizarre death of her war veteran father, and excruciatingly painful telekinetic powers that keep popping up at the most inopportune times. Charles Forsman once again expertly channels teenage ethos in a style that evokes classic comics strips while telling a powerful story about the intense, and sometimes violent, tug of war between trauma and control. I Am Not Okay With This tackles familial strain, sexual confusion, and PTSD in Forsman's signature straight-faced-but-humorous style and firmly stakes his place among the world's best cartoonists.",,2020-02-03,,,,,176.0,2025-06-19,1,Woodbine,,2.0,Comics & Graphic Novels,en,False,,
book,Kismet: A Kayankaya Thriller (4) (Melville International Crime),Jakob Arjouni,Jakob,Arjouni,9781935554233,1935554239,"“Kemal Kayankaya is the ultimate outsider among hard-boiled private eyes.”—Marilyn Stasio, The New York Times Book ReviewOVER 1 MILLION COPIES SOLD WORLDWIDE   As a Turkish immigrant raised by Germans, he's regularly subjected to racism in the gritty, working-class city, and getting work isn't easy. So when his friend Romario asks Kayankaya to protect him against thugs demanding protection money from his restaurant business, the down-and-out Kayankaya takes the job.  Except these are no ordinary thugs. They turn out to be battle-hardened Croatian nationalists looking to take over the rackets in Frankfurt, and they do not take kindly to Kayankaya's interference with their plans. But try as he might, Kayankaya just can't seem to stay out of their way … What ensues is a brilliant novel about organized crime, immigration, the fallout from the Balkan wars, and the madness of nationalism from one of Europe's finest crime writers.",Melville International Crime,2010-10-05,,,,,255.0,2025-06-19,1,Woodbine,,6.0,Fiction,en,False,,
book,"Without You: A Memoir of Love, Loss, and the Musical Rent",Anthony Rapp,Anthony,Rapp,9780743269773,743269772,"Anthony Rapp had a special feeling about Jonathan Larson&#039;s rock musical Rent as early as his first audition, which won him a starring role as the video artist Mark Cohen. The Pulitzer Prize-winning Rent opened to thunderous acclaim off-Broadway -- but even as friends and family were celebrating the show&#039;s first success, they were also mourning Jonathan Larson&#039;s sudden death from an aortic aneurysm. And when Anthony&#039;s mom began to lose her battle with cancer, Anthony found himself struggling to balance his life in the theater with his responsibility to his family.   In Without You, Anthony tells of his exhilarating journey with the cast and crew of Rent as well as the intimacies of his personal life behind the curtain. Marked by fledgling love and devastating loss, Without You is an exceptional memoir of the world of theater, the love of a son for his mother, and maturity won far too early.",Simon & Schuster,2006-10-31,,,,,320.0,2025-06-19,1,Woodbine,paperback,2.0,Biography & Autobiography,en,False,,
book,Caught,Harlan Coben,Harlan,Coben,9780525951582,52595158,"From the #1 New York Times bestselling master of suspense comes a fast-paced, emotion-packed novel about guilt, grief, and our capacity to forgive  17-year-old Haley McWaid is a good girl, the pride of her suburban New Jersey family, captain of the lacrosse team, headed off to college next year with all the hopes and dreams her doting parents can pin on her. Which is why, when her mother wakes one morning to find that Haley never came home the night before, and three months quickly pass without word from the girl, the community assumes the worst.  Wendy Tynes is a reporter on a mission, to identify and bring down sexual predators via elaborate&mdash;and nationally televised&mdash;sting operations. Working with local police on her news program Caught in the Act, Wendy and her team have publicly shamed dozens of men by the time she encounters her latest target. Dan Mercer is a social worker known as a friend to troubled teens, but his story soon becomes more complicated than Wendy could have imagined.  In a novel that challenges as much as it thrills, filled with the astonishing tension and unseen suburban machinations that have become Coben&rsquo;s trademark, Caught tells the story of a missing girl, the community stunned by her loss, the predator who may have taken her, and the reporter who suddenly realizes she can&rsquo;t trust her own instincts about this story&mdash;or the motives of the people around her. Praise for Long Lost:  &quot;Coben is one of the best authors around at writing page-turning suspense, as  Long Lost makes clear.&quot;  -Chicago Sun-Times  &quot;Roller-coaster plot and savvy dialogue...All the ingredients of a good old- fashioned thriller: murder, action and wit.&quot;  -New York Daily News",Dutton Adult,2010-03-23,,,,,400.0,2025-06-19,1,Woodbine,,5.0,Fiction,en,False,,
book,The Princess and the Goblin,George MacDonald,George,MacDonald,9781591667995,1591667992,"One night, Princess Irene discovers her beautiful great-great-grandmother spinning silver thread in the palace tower. Though great danger is about to come upon the sunny kingdom, the old lady promises",BJU Press,2007-08-01,,,,,191.0,2025-06-19,1,Woodbine,Paperback,13.0,Juvenile Fiction,en,False,Fairy tales,
book,"Always and Forever, Lara Jean (To All the Boys I've Loved Before)",Jenny Han,Jenny,Han,9781481430494,1481430491,"“Sweetly funny.” —Entertainment Weekly New York Times bestselling author Lara Jean’s letter-writing days aren’t over in this surprise follow-up to the bestselling To All the Boys I’ve Loved Before and P.S. I Still Love You.Lara Jean is having the best senior year a girl could ever hope for. She is head over heels in love with her boyfriend, Peter; her dad’s finally getting remarried to their next door neighbor, Ms. Rothschild; and Margot’s coming home for the summer just in time for the wedding. But change is looming on the horizon. And while Lara Jean is having fun and keeping busy helping plan her father’s wedding, she can’t ignore the big life decisions she has to make. Most pressingly, where she wants to go to college and what that means for her relationship with Peter. She watched her sister Margot go through these growing pains. Now Lara Jean’s the one who’ll be graduating high school and leaving for college and leaving her family—and possibly the boy she loves—behind. When your heart and your head are saying two different things, which one should you listen to?",Simon &amp; Schuster Books for Young Readers,2018-04-10,,,,,336.0,2025-06-19,1,Woodbine,,16.0,Young Adult Fiction,en,False,"Juvenile fiction, Weddings, Love, Dating (Social customs), Fiction",
book,Long Lost (Myron Bolitar),Harlan Coben,Harlan,Coben,9780525951056,525951059,"Harlan Coben&#039;s millions of fans have waited three long years for a new Myron Bolitar novel and soon their patience will be rewarded in spectacular fashion. Myron hasn&#039;t heard from Terese Collins in years. Not since their affair ended without explanation. He&#039;s had no contact with her since, so her call catches him off guard. She&#039;s in Paris, she says, in trouble and only Myron can help. Terese tells him a sad story she&#039;s never before revealed: a good marriage, her struggles to get pregnant, the happiest moment of her life when her only child was born, the day everything she&#039;d ever loved was taken from her. As the years passed Terese heard nothing from her ex-husband, until the phone call that brought her to Paris. But on arrival, Terese finds her husband has been murdered, leaving her as a prime suspect. Then comes a startling piece of evidence that turns the entire case upside down, laying bare Terese&#039;s long-buried family secrets in the most shocking way and leaving Myron nowhere to turn for help. Caught in a foreign landscape where nothing is as it seems, he must tear apart the city - and eventually the globe - fighting for answers to unfathomable questions that will take Myron, and Harlan Coben&#039;s readers, where they have never gone before.",Dutton Adult,2009-03-31,,,,,384.0,2025-06-19,1,Woodbine,,7.0,Fiction,en,False,,
